ID,EarthquakeName,Starttime,Mw,HypLat,HypLon,Etype,Depth,Station,StaLat,StaLon,Rhyp,Repi,Rrup,Rjb,Vs30,Az
87,20061120_5.8Mw_17.27S_70.19W_48KM,2006-11-20 14:38:41.500,5.8,-17.27,-70.19,crustal,48,ARICA CERRO LA CRUZ,-18.4909,-70.3114,143.4885009,135.739116,143.4885009,135.739116,1132,4
88,20061120_5.8Mw_17.27S_70.19W_48KM,2006-11-20 14:38:39.000,5.8,-17.27,-70.19,crustal,48,ARICA CHACALLUTA,-18.3148,-70.3141,125.4831355,116.3826201,125.4831355,116.3826201,288,11
89,20061120_5.8Mw_17.27S_70.19W_48KM,2006-11-20 14:38:42.300,5.8,-17.27,-70.19,crustal,48,POCONCHILE,-18.4525,-70.0667,139.5428087,131.5285222,139.5428087,131.5285222,533,170
90,20070214_5.4Mw_19.24S_40.04W_78KM,2007-02-14 11:22:22.000,5.4,-19.24,-40.04,intraslab,78,FUERTE BAQUEDANO,-20.1349,-69.7549,3064.449714,3113.142963,3064.449714,3113.142963,467,0
91,20070302_5.7Mw_30.31S_71.24W_33KM,2007-03-02 13:07:43.700,5.7,-30.31,-71.24,interface,33,PUENTE AMOLANAS,-31.1982,-71.6106,109.4869903,104.6686754,109.4869903,104.6686754,854,351
92,20070422_5.6Mw_32.13S_71.15W_26KM,2007-04-22 09:22:15.500,5.6,-32.13,-71.15,crustal,26,VINA DEL MAR EL SALTO,-33.0472,-71.5099,110.074089,107.1800425,110.074089,107.1800425,260,0
93,20070510_5Mw_32.22S_71.12W_59KM,2007-05-10 04:31:52.200,5,-32.22,-71.12,interface,59,VINA DEL MAR EL SALTO,-33.0472,-71.5099,114.6479008,98.76157037,114.6479008,98.76157037,260,0
94,20071025_5.1Mw_20.21S_68.25W_99KM,2007-10-25 08:35:33.000,5.1,-20.21,-68.25,interface,99,PICA,-20.4921,-69.3303,152.5993449,117.0408873,152.5993449,117.0408873,492,339
95,20071114_7.7Mw_22.24S_70.07W_39KM,2007-11-14 23:41:31.900,7.7,-22.24,-70.07,interface,39,ANTOFAGASTA UCN,-23.681,-70.4111,167.4672698,163.3700104,82.94155813,81.59083234,574,0
96,20071114_7.7Mw_22.24S_70.07W_39KM,2007-11-14 15:41:11.500,7.7,-22.24,-70.07,interface,39,CALAMA,-22.4588,-68.9302,125.7149058,119.8812453,83.06607962,62.17765237,373,0
97,20071114_7.7Mw_22.24S_70.07W_39KM,2007-11-14 15:41:34.300,7.7,-22.24,-70.07,interface,39,IQUIQUE,-20.2141,-70.1377,227.0893017,224.4178637,154.0305207,151.450641,449,9
98,20071114_7.7Mw_22.24S_70.07W_39KM,2007-11-14 20:06:41.900,7.7,-22.24,-70.07,interface,39,IQUIQUE ESCUELA CHIPANA,-20.2516,-70.1261,222.9813525,220.2332699,150.0098699,147.2823406,394,24
99,20071114_7.7Mw_22.24S_70.07W_39KM,2007-11-14 15:41:08.000,7.7,-22.24,-70.07,interface,39,MEJILLONES,-23.103,-70.446,109.9175466,103.0842592,22.75523708,17.67338206,343,0
