B      : 8        # foundation width
L      : 14       # foundation length
Df     : 1.5      # foundation embedment depth
Q      : 50 0.2   # Foundation bearing pressure q (kPa) and coefficient of variation covQ and number of percentiles
type   : Masonry  # building type (masonty,steel, timber, reinforced concrete)
wt     : 2        # Water table depth

# Soil Parameters (for Bullock et al. 2018)
LPC   : Yes      # Low permeability cap present above top susceptible layer?    
th1   : 2        # Non-susceptible crust thickness
th2   : 6        # Maximum continuous thickness of susceptible material in top B
N1    : 1        # Number of susceptible layers in top B    
N2    : 2        # Number of non-susceptible layers in top B
meth  : CPT      # Soil profile testing method
N160  : 9   0   0   0   0   0   0   0   0   0
qc1N  : nan nan nan nan nan nan nan nan nan nan
thick : 6   0   0   0   0   0   0   0   0   0
d2mat : 3.5 0   0   0   0   0   0   0   0   0

# CPT LOG (For Macedo, Bray 2017)
Depth qc fs u2
6.14 62.73 0.15 0.00
6.15 60.69 0.16 0.00
6.16 60.79 0.24 0.00
6.17 62.84 0.37 0.00
6.18 61.47 0.34 0.00
6.19 60.11 0.37 0.00
6.2 58.74 0.31 0.00
6.21 54.61 0.31 0.00
6.22 52.58 0.31 0.00
6.23 54.30 0.31 0.00
6.24 56.73 0.37 0.00
6.25 59.74 0.43 0.00
6.26 59.66 0.49 0.00
6.27 58.43 0.49 0.00
6.28 57.21 0.49 0.00
6.29 55.98 0.49 0.00
6.3 53.25 0.53 0.00
6.31 52.99 0.58 0.00
6.32 53.85 0.63 0.00
6.33 55.83 0.68 0.00
6.34 55.69 0.57 0.00
6.35 55.12 0.38 0.00
6.36 55.05 0.27 0.00
6.37 57.38 0.24 0.00
6.38 62.53 0.16 0.00
6.39 65.45 0.18 0.00
6.4 65.76 0.20 0.00
6.41 65.18 0.22 0.00
6.42 64.05 0.32 0.00
6.43 64.06 0.32 0.00
6.44 64.65 0.36 0.00
6.45 65.73 0.47 0.00
6.46 66.14 0.43 0.00
6.47 66.42 0.41 0.00
6.48 65.30 0.39 0.00
6.49 63.71 0.37 0.00
6.5 62.13 0.38 0.00
6.51 60.54 0.39 0.00
6.52 57.15 0.41 0.00
6.53 54.54 0.37 0.00
6.54 53.74 0.40 0.00
6.55 55.93 0.30 0.00
6.56 57.42 0.23 0.00
6.57 58.30 0.23 0.00
6.58 58.01 0.22 0.00
6.59 56.23 0.21 0.00
6.6 55.86 0.17 0.00
6.61 56.59 0.18 0.00
6.62 53.65 0.26 0.00
6.63 51.87 0.33 0.00
6.64 51.51 0.41 0.00
6.65 50.77 0.42 0.00
6.66 49.99 0.42 0.00
6.67 50.47 0.43 0.00
6.68 49.95 0.46 0.00
6.69 49.51 0.48 0.00
6.7 48.59 0.50 0.00
6.71 47.28 0.51 0.00
6.72 49.77 0.52 0.00
6.73 49.77 0.71 0.00
6.74 49.49 0.76 0.00
6.75 47.57 0.90 0.00
6.76 49.94 0.91 0.00
6.77 47.60 0.79 0.00
6.78 42.38 0.65 0.00
6.79 41.93 0.63 0.00
6.8 41.61 0.61 0.00
6.81 40.34 0.57 0.00
6.82 39.64 0.48 0.00
6.83 39.63 0.46 0.00
6.84 37.15 0.45 0.00
6.85 36.51 0.44 0.00
6.86 36.67 0.43 0.00
6.87 36.92 0.40 0.00
6.88 38.14 0.37 0.00
6.89 38.41 0.33 0.00
6.9 38.97 0.29 0.00
6.91 41.11 0.26 0.00
6.92 38.52 0.20 0.00
6.93 36.19 0.20 0.00
6.94 36.13 0.20 0.00
6.95 36.19 0.21 0.00
6.96 37.09 0.22 0.00
6.97 37.96 0.22 0.00
6.98 40.81 0.28 0.00
6.99 43.38 0.29 0.00
7 42.82 0.30 0.00
7.01 41.79 0.34 0.00
7.02 40.77 0.37 0.00
7.03 39.74 0.38 0.00
7.04 40.32 0.43 0.00
7.05 39.77 0.45 0.00
7.06 35.74 0.50 0.00
7.07 37.13 0.45 0.00
7.08 37.05 0.23 0.00
7.09 36.98 0.20 0.00
7.1 36.90 0.25 0.00
7.11 38.03 0.29 0.00
7.12 37.04 0.34 0.00
7.13 36.66 0.40 0.00
7.14 36.48 0.44 0.00
7.15 39.94 0.38 0.00
